TIpo_ensayo,Cu_per,Zr_per,Cooling_rate,Lx,Ly,Lz,Strain_rate,Temperature,E,Max_stress
Compresion,57,43,1.00E+12,69.8,69.4,1.75,5.00E+09,50,113.12,11.99
Compresion,57,43,1.00E+12,69.8,69.4,1.75,5.00E+08,50,112.01,11.28
Compresion,57,43,1.00E+12,69.8,69.4,1.75,5.00E+09,50,114.24,11.93
Compresion,46,54,2.00E+10,38,76,2.5,1.00E+08,100,44.54,1.829
Tension,65,35,1.00E+11,2,2,4,5.00E+07,300,49.099,2.519
Compresion,65,35,1.00E+11,2,2,4,5.00E+07,300,56.654,3.432
Tension,64,36,1.00E+10,36,8,75,4.00E+07,50,88.593,4.645
Compresion,64,36,1.00E+12,27.05,27.05,27.05,1.00E+08,10,64.14439431,2.731343284
Tension,64,36,1.00E+10,37,8,75,4.00E+07,50,89.70116618,4.624489796
Tension,36,64,1.00E+10,33,8,65,4.00E+07,50,71.87294273,3.044897959
Tension,50,50,1.00E+09,99.1,49.5,6.23,4.00E+07,50,57.74360635,2.083145052
Tension,64,36,1.00E+10,37,8,75,1.00E+09,300,68.71366279,3.93081761
Tension,64,36,1.00E+10,37,8,75,1.00E+08,300,85.1397744,3.51572327
Tension,64,36,1.00E+10,37,8,75,4.00E+07,300,84.14558914,3.402515723
Tension,64,36,1.00E+10,37,8,75,1.00E+09,300,76.78992919,3.951219512
Tension,64,36,1.00E+10,37,8,75,1.00E+08,300,82.26763349,3.512195122
Tension,64,36,1.00E+10,37,8,75,4.00E+07,300,80.74011775,3.402439024
Tension,64,36,1.00E+10,37,8,75,1.00E+09,50,83.41138659,4.841118881
Tension,64,36,1.00E+10,37,8,75,1.00E+08,50,84.42959002,4.708438228
Tension,64,36,1.00E+10,37,8,75,4.00E+07,50,82.57575758,4.648904429
Tension,64,36,1.00E+10,37,8,75,1.00E+09,50,85.18560953,4.904420708
Tension,64,36,1.00E+10,37,8,75,1.00E+08,50,86.30823402,4.775492603
Tension,64,36,1.00E+10,37,8,75,4.00E+07,50,83.87635379,4.71733121
Compresion,50,50,1.00E+11,6,12,6,7.00E+08,0.1,73.12530005,3.358490566
Compresion,64,36,5.00E+11,27.5,5.5,55,1.00E+08,300,91.842,4.625
Compresion,64,36,5.00E+11,27.5,5.5,55,1.00E+08,300,77.636,2.816
Compresion,64,36,5.00E+11,27.5,5.5,55,1.00E+08,300,76.816,2.303
Compresion,60,40,5.00E+10,40,5,120,4.00E+07,130,62.82711283,2.989738959
Compresion,60,40,5.00E+10,40,5,120,4.00E+07,300,54.28590804,2.400016418
Compresion,60,40,5.00E+10,20,5,120,4.00E+07,130,67.47207855,2.826452227
Compresion,60,40,5.00E+10,20,5,120,4.00E+07,300,59.61471103,2.296847724
Tension,50,50,1.00E+09,100,50,6.23,1.00E+08,50,62.78468424,3.092732125
Tension,50,50,1.00E+09,56.2,28,6.23,1.00E+09,50,53.63636364,3.441703574
Tension,64,36,1.00E+10,40,5,120,1.00E+07,50,67.84526637,3.288598575
Tension,64,36,1.00E+10,40,5,120,1.00E+07,480,39.06175772,1.881235154
Tension,64,36,1.00E+10,40,5,120,1.00E+07,600,49.92874109,1.401134864
Tension,50,50,5.00E+10,45.4,19.4,19.4,5.00E+08,300,51.80096874,1.96464196
Tension,50,50,1.00E+11,30,60,5,8.30E+07,50,72.55520505,3.598206144
Tension,50,50,1.00E+11,30,60,5,8.30E+07,50,77.27782611,3.419148618
Tension,50,50,1.00E+11,30,60,5,8.30E+07,50,72.15387658,3.356378128
Tension,50,50,1.00E+11,30,60,5,8.30E+07,50,71.08355091,3.308911866
Tension,50,50,1.00E+11,30,60,5,8.30E+07,50,74.66614966,3.272108384
Tension,50,50,1.00E+11,30,60,5,8.30E+07,50,76.12788963,3.219643641
Tension,50,50,1.00E+11,30,60,5,8.30E+07,50,73.65204803,3.156795955
Tension,50,50,1.00E+11,30,60,5,8.30E+07,50,71.62696819,3.188031631
Tension,50,50,1.00E+11,30,60,5,8.30E+07,50,80.03289111,3.193232753
Compresion,50,50,1.00E+11,10,10,10,1.00E+09,100,67.65093861,2.615763547
Compresion,50,50,1.00E+11,10,10,10,1.00E+08,100,58.13504823,2.300492611
Compresion,50,50,1.00E+11,10,10,10,1.00E+07,100,50.4751478,2.128078818
Tension,64,36,1.00E+11,28.2,56.4,5.6,1.00E+08,50,88.08875049,4.496950229
Tension,40,60,1.00E+11,28.2,56.4,5.6,1.00E+08,50,66.38759053,3.171840527
Tension,64,36,1.00E+11,106.4,117.6,5.6,1.00E+08,50,87.74615173,4.566401159
Compresion,64,36,1.00E+09,22,4.4,44,4.00E+07,50,60.52100113,2.072849983
Compresion,64,36,1.00E+10,22,4.4,44,4.00E+07,50,62.97714908,1.780669145
Compresion,64,36,1.00E+11,22,4.4,44,4.00E+07,50,51.74577445,1.420786811
Compresion,64,36,1.00E+12,22,4.4,44,4.00E+07,50,45.7855933,1.107806691
Tension,50,50,1.00E+09,56.2,28,6.2,1.00E+09,50,67.26382488,3.451852732
Tension,50,50,1.00E+12,2.5,2,45.8,1.25E+08,50,56.49109731,3.544303197
Tension,50,50,1.00E+12,18.3,2,45.8,1.25E+08,50,75.59103641,3.596534954
Tension,50,50,1.00E+12,27.5,2,45.8,1.25E+08,50,85.55714286,3.549300912
Tension,50,50,1.00E+11,30,40,5,8.30E+07,50,73.47852547,3.04384359
Tension,50,50,1.00E+11,60.2,30.1,5,4.00E+07,50,71.72101449,2.693949468
Tension,50,50,1.00E+09,56.2,28,6.23,1.00E+09,50,69.19354839,3.483870968
Compresion,50,50,1.00E+10,21.5,4.3,43,4.00E+07,50,60.49806695,1.762928752
Compresion,64,36,1.00E+10,60,7.7,137,4.00E+07,50,93.38138925,5.23853211
Tension,64,36,1.00E+11,78.8,23.2,4.3,1.00E+07,300,55.03999568,1.911105088
Tension,56,44,1.00E+11,78.8,23.2,4.3,1.00E+07,300,52.74294671,1.728143504
Tension,50,50,1.00E+11,78.8,23.2,4.3,1.00E+07,300,51.39262943,1.784415695
Tension,35,65,1.00E+11,78.8,23.2,4.3,1.00E+07,300,57.35486319,1.673730408
Compresion,50,50,1.00E+11,5,5,5,1.00E+07,50,62.46082207,2.627748057
Tension,64,36,1.00E+12,38.5,5.5,77,2.00E+07,50,68.62958957,2.782266099
Tension,50,50,1.00E+09,49.6,99.2,6.2,1.00E+08,300,57.30968622,2.435079416
Compresion,64,36,1.00E+11,5.5,5.5,5.5,1.00E+08,300,64.906001,2.932273448
Compresion,64,36,1.00E+12,5.5,5.5,5.5,1.00E+08,300,81.28977821,3.381433016
Compresion,64,36,1.00E+11,5.5,5.5,5.5,1.00E+08,300,69.19359535,2.883358983
Compresion,64,36,1.00E+12,5.5,5.5,5.5,1.00E+08,300,66.6635976,3.330735514
Compresion,64,36,1.00E+11,5.5,5.5,5.5,1.00E+08,300,71.05974588,2.91520511
Compresion,64,36,1.00E+12,5.5,5.5,5.5,1.00E+08,300,71.13098611,3.341008909
Tension,50,50,1.00E+10,58,29,5.8,1.00E+08,50,81.12258644,3.915604073
Tension,64,36,1.00E+10,80,40,5.4,4.00E+07,50,82.78947368,4.940298507
Tension,64,36,1.00E+10,5,55,110,4.00E+07,50,62.90020865,2.897009967
Tension,64,36,1.00E+12,5,55,110,4.00E+07,50,59.30687673,2.438538206
Compresion,50,50,1.00E+11,36,16,16,1.00E+08,50,62.7,2.691
Compresion,50,50,1.00E+11,36,16,16,1.00E+08,50,64.02,2.726
Compresion,50,50,1.00E+11,36,16,16,1.00E+08,50,63.5,2.628
Compresion,50,50,1.00E+11,36,16,16,1.00E+08,50,64.858,2.631
Compresion,50,50,1.00E+11,36,16,16,1.00E+08,50,65.81,2.804
Compresion,50,50,1.00E+11,36,16,16,1.00E+08,50,63.564,2.764
Compresion,50,50,1.00E+11,36,16,16,1.00E+08,50,66.166,2.674
Compresion,50,50,1.00E+11,36,16,16,1.00E+08,50,65.292,2.736
Compresion,50,50,1.00E+11,36,16,16,1.00E+08,50,66.079,2.656
Compresion,50,50,1.00E+11,36,16,16,1.00E+08,50,61.99,2.639
Compresion,64,36,1.00E+12,21.49,4.29,42.97,4.00E+07,300,63.23047482,1.7931846
Tension,64,36,1.00E+10,32,64,4,1.00E+08,50,114.6614583,5.8875
Compresion,64,36,1.00E+10,32,64,4,1.00E+08,50,113.8162879,6.5875
Compresion,36,64,1.00E+10,404,269,269,1.00E+08,300,56.64881192,2.202147742
Compresion,50,50,1.00E+10,393,261,261,1.00E+08,300,56.82198861,2.260758215
Compresion,64,36,1.00E+10,381,253,253,1.00E+08,300,65.68445415,2.857565981
Compresion,36,64,1.00E+10,404,269,269,1.00E+08,50,64.11,3.062327488
Compresion,50,50,1.00E+10,393,261,261,1.00E+08,50,63.89035112,3.073291142
Compresion,64,36,1.00E+10,381,253,253,1.00E+08,50,73.58170895,3.670041479
Tension,36,64,1.00E+10,404,269,269,1.00E+08,50,59.78617463,2.922662578
Tension,50,50,1.00E+10,393,261,261,1.00E+08,50,61.66130267,2.814495486
Tension,64,36,1.00E+10,381,253,253,1.00E+08,50,72.37476587,3.414836902
Compresion,36,64,1.00E+10,404,269,269,1.00E+08,400,53.45246218,1.947407711
Compresion,64,36,1.00E+10,381,253,253,1.00E+08,400,63.26484903,2.565258779
Tension,36,64,1.00E+10,404,269,269,1.00E+08,400,52.54972439,1.843817102
Tension,64,36,1.00E+10,381,253,253,1.00E+08,400,61.86463952,2.345965744
Tension,36,64,1.00E+10,202,134,67,5.00E+07,300,54.75755772,2.041208526
Tension,50,50,1.00E+10,196,130,65,5.00E+07,300,50.07116021,2.078454439
Tension,64,36,1.00E+10,190,126,63,5.00E+07,300,66.24185145,2.63156604
Tension,36,64,1.00E+10,202,134,67,1.00E+08,100,57.28644283,2.721616594
Tension,50,50,1.00E+10,196,130,65,1.00E+08,100,60.98984715,2.656139801
Tension,64,36,1.00E+10,190,126,63,1.00E+08,100,70.73780395,3.242932222
Compresion,36,64,1.00E+10,202,134,67,5.00E+07,300,53.92948842,2.137269991
Compresion,64,36,1.00E+10,190,126,63,5.00E+07,300,64.14251669,2.857628544
Compresion,36,64,1.00E+10,202,134,67,1.00E+08,100,61.23431728,2.877303622
Compresion,64,36,1.00E+10,190,126,63,1.00E+08,100,71.17628247,3.534107606
